# Sun May 02 15:08:50 GMT+02:00 2021
Value;Unit;Type;Overloaded
1.7400;V;DC;
1.7399;V;DC;
1.7400;V;DC;
1.7399;V;DC;
1.7399;V;DC;
1.7399;V;DC;
1.7399;V;DC;
1.7399;V;DC;
1.7399;V;DC;
1.7399;V;DC;
1.7399;V;DC;
1.7399;V;DC;
1.7399;V;DC;
1.7399;V;DC;
1.7399;V;DC;
1.7399;V;DC;
1.7398;V;DC;
1.7398;V;DC;
1.7399;V;DC;
1.7399;V;DC;
1.7399;V;DC;
1.7399;V;DC;
1.7398;V;DC;
1.7398;V;DC;
1.7398;V;DC;
1.7398;V;DC;
1.7398;V;DC;
1.7398;V;DC;
1.7398;V;DC;
1.7398;V;DC;
1.7398;V;DC;
1.7398;V;DC;
1.7398;V;DC;
1.7398;V;DC;
1.7398;V;DC;
1.7398;V;DC;
1.7398;V;DC;
1.7398;V;DC;
1.7398;V;DC;
1.7398;V;DC;
1.7397;V;DC;
1.7397;V;DC;
1.7397;V;DC;
1.7397;V;DC;
1.7397;V;DC;
1.7397;V;DC;
1.7397;V;DC;
1.7397;V;DC;
1.7397;V;DC;
1.7397;V;DC;
1.7396;V;DC;
1.7396;V;DC;
1.7396;V;DC;
1.7396;V;DC;
1.7396;V;DC;
1.7396;V;DC;
1.7396;V;DC;
1.7396;V;DC;
1.7396;V;DC;
1.7396;V;DC;
1.7397;V;DC;
1.7397;V;DC;
1.7395;V;DC;
1.7395;V;DC;
1.7396;V;DC;
1.7396;V;DC;
1.7396;V;DC;
1.7396;V;DC;
1.7394;V;DC;
1.7394;V;DC;
1.7395;V;DC;
1.7395;V;DC;
1.7396;V;DC;
1.7396;V;DC;
1.7396;V;DC;
1.7396;V;DC;
1.7395;V;DC;
1.7395;V;DC;
1.7395;V;DC;
1.7395;V;DC;
1.7395;V;DC;
1.7395;V;DC;
1.7395;V;DC;
1.7395;V;DC;
1.7395;V;DC;
1.7395;V;DC;
1.7395;V;DC;
1.7395;V;DC;
1.7395;V;DC;
1.7395;V;DC;
1.7395;V;DC;
1.7395;V;DC;
1.7395;V;DC;
1.7395;V;DC;
1.7394;V;DC;
1.7394;V;DC;
1.7394;V;DC;
1.7394;V;DC;
1.7394;V;DC;
1.7394;V;DC;
1.7395;V;DC;
1.7395;V;DC;
1.7394;V;DC;
1.7394;V;DC;
1.7394;V;DC;
1.7394;V;DC;
1.7394;V;DC;
1.7394;V;DC;
1.7394;V;DC;
1.7394;V;DC;
1.7393;V;DC;
1.7393;V;DC;
1.7394;V;DC;
1.7394;V;DC;
1.7394;V;DC;
1.7394;V;DC;
1.7393;V;DC;
1.7393;V;DC;
1.7393;V;DC;
1.7393;V;DC;
1.7393;V;DC;
1.7393;V;DC;
1.7393;V;DC;
1.7393;V;DC;
1.7393;V;DC;
1.7393;V;DC;
1.7393;V;DC;
1.7393;V;DC;
1.7393;V;DC;
1.7393;V;DC;
1.7393;V;DC;
1.7393;V;DC;
1.7393;V;DC;
1.7393;V;DC;
1.7393;V;DC;
1.7393;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7392;V;DC;
1.7391;V;DC;
1.7391;V;DC;
1.7391;V;DC;
1.7391;V;DC;
1.7391;V;DC;
1.7391;V;DC;
1.7391;V;DC;
1.7391;V;DC;
1.7391;V;DC;
1.7391;V;DC;
1.7391;V;DC;
1.7391;V;DC;
1.7391;V;DC;
1.7391;V;DC;
1.7391;V;DC;
1.7391;V;DC;
1.7390;V;DC;
1.7390;V;DC;
1.7390;V;DC;
1.7390;V;DC;
1.7390;V;DC;
1.7390;V;DC;
1.7390;V;DC;
1.7390;V;DC;
1.7390;V;DC;
1.7390;V;DC;
1.7390;V;DC;
1.7390;V;DC;
1.7390;V;DC;
1.7390;V;DC;
1.7390;V;DC;
1.7390;V;DC;
1.7390;V;DC;
1.7390;V;DC;
1.7389;V;DC;
1.7390;V;DC;
1.7390;V;DC;
1.7389;V;DC;
1.7389;V;DC;
1.7389;V;DC;
1.7389;V;DC;
1.7389;V;DC;
1.7389;V;DC;
1.7389;V;DC;
1.7389;V;DC;
1.7389;V;DC;
1.7389;V;DC;
1.7389;V;DC;
1.7389;V;DC;
1.7389;V;DC;
1.7389;V;DC;
1.7389;V;DC;
1.7389;V;DC;
1.7389;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7388;V;DC;
1.7387;V;DC;
